contract,tenure_bucket,No,Yes
Month-to-month,0-12,48.64593781344032,51.35406218655968
Month-to-month,13-24,62.27951153324288,37.720488466757125
Month-to-month,25-48,67.08229426433915,32.917705735660846
Month-to-month,49+,73.9766081871345,26.023391812865498
One year,0-12,89.51612903225806,10.483870967741936
One year,13-24,91.87817258883248,8.121827411167512
One year,25-48,89.38223938223938,10.617760617760617
One year,49+,87.06624605678233,12.933753943217665
Two year,0-12,100.0,0.0
Two year,13-24,100.0,0.0
Two year,25-48,97.8102189781022,2.18978102189781
Two year,49+,96.67458432304038,3.32541567695962
